t,value
1773145530,0
1773145560,0
1773145590,0
1773145620,0
1773145650,0
1773145680,0
1773145710,0
1773145740,0
1773145770,0
1773145800,0
1773145830,0
1773145860,0
1773145890,0
1773145920,0
1773145950,0
1773145980,0
1773146100,0
1773146131,15
1773146161,15
1773146191,15
1773146221,15
1773146251,15
1773146281,15
1773146311,15
1773146341,15
1773146371,15
1773146401,15
1773146431,15
1773146461,15
1773146491,15
1773146521,15
1773146551,15
1773146581,15
1773146611,15
1773146641,15
1773146671,15
1773146701,15
1773146731,15
1773146761,15
1773146791,15
1773146821,15
1773146851,15
1773146881,15
1773146911,15
1773146941,15
1773146971,15
1773147001,15
1773147031,15
1773147061,15
1773147091,15
1773147121,15
1773147151,15
1773147181,15
1773147211,15
1773147241,15
1773147271,15
1773147301,15
1773147331,15
1773147361,15
1773147392,15
1773147422,15
1773147452,15
1773147482,15
1773147512,15
1773147542,15
1773147572,15
1773147602,15
1773147632,15
1773147662,15
1773147692,15
1773147722,15
1773147752,15
1773147782,15
1773147812,15
1773147842,15
1773147872,15
1773147902,15
1773147932,15
1773147962,15
1773147992,15
1773148022,15
1773148052,15
1773148082,15
1773148112,15
1773148142,15
1773148172,15
1773148202,15
1773148232,15
1773148262,15
1773148292,15
1773148322,15
1773148352,15
1773148382,15
1773148412,15
1773148442,15
1773148472,15
1773148502,15
1773148532,15
1773148562,15
1773148592,15
1773148622,15
1773148652,15
1773148682,15
1773148712,15
1773148742,15
1773148772,15
1773148802,15
1773148832,15
1773148862,15
1773148892,15
1773148922,15
1773148952,15
1773148982,15
1773149012,15
1773149042,15
1773149072,15
1773149102,15
1773149132,15
1773149162,15
1773149192,15
1773149222,15
1773149252,15
1773149282,15
1773149312,15
1773149342,15
1773149372,15
1773149402,15
1773149432,15
1773149462,15
1773149492,15
1773149522,15
1773149552,15
1773149582,15
1773149612,15
1773149642,15
1773149672,15
1773149702,15
1773149732,15
1773149762,15
1773149792,15
1773149822,15
1773149852,15
1773149882,15
1773149912,15
1773149942,15
1773149972,15
1773150002,15
1773150032,15
1773150062,15
1773150092,15
1773150122,15
1773150152,15
1773150182,15
1773150212,15
1773150242,15
1773150272,15
1773150302,15
1773150333,15
1773150363,15
1773150393,15
1773150423,15
1773150453,15
1773150483,15
1773150513,15
1773150543,15
1773150573,15
1773150603,15
1773150633,15
1773150663,15
1773150693,15
1773150723,15
1773150753,15
1773150783,15
1773150813,15
1773150843,15
1773150873,15
1773150903,15
1773150933,15
1773150963,15
1773150993,15
1773151023,15
1773151053,15
1773151083,15
1773151113,15
1773151143,15
1773151173,15
1773151203,15
1773151233,15
1773151263,15
1773151293,15
1773151323,15
1773151353,15
1773151383,15
1773151413,15
1773151443,15
1773151473,15
1773151503,15
1773151533,15
1773151563,15
